#	Isochrone	Z = 0.00100		Age = 	6.310e+07 yr
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
	8.30	3.0087	3.006	2.291	4.168	4.24	0.271	-0.513	-0.136	-0.136	 TO       
	8.30	3.4337	3.429	2.607	4.145	3.89	-0.655	-0.483	-0.131	-0.119	 Te-m     
	8.30	3.4652	3.460	2.693	4.195	4.01	-0.577	-0.573	-0.156	-0.153	 Te-M     
	8.30	3.4706	3.465	2.748	4.038	3.33	-1.595	-0.256	-0.082	-0.048	 L-M      
	8.30	3.4753	3.470	2.591	3.732	2.26	-1.531	0.068	0.669	0.823	 RGBb     
	8.30	3.4786	3.473	2.912	3.702	1.82	-2.250	0.246	0.822	0.942	 RGBt     
	8.30	3.5475	3.532	2.830	3.716	1.96	-2.091	0.157	0.751	0.887	 BHeb     
	8.30	3.6529	3.625	3.046	3.898	2.49	-2.880	0.116	0.052	0.143	 Te-M     
	8.30	3.6898	3.657	3.026	3.706	1.74	-2.548	0.233	0.804	0.927	 EHeb     
	8.30	3.6968	3.638	4.239	3.615	0.16	-4.940	1.471	1.456	1.481	 1TP      
	8.30	3.7072	1.884	4.613	3.582	-0.63	-5.569	1.704	1.531	1.737	 AGBt
#	Isochrone	Z = 0.00100		Age = 	2.239e+08 yr
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
	8.35	2.8488	2.846	2.207	4.155	4.25	0.406	-0.485	-0.129	-0.130	 TO       
	8.35	3.2539	3.249	2.525	4.131	3.89	-0.532	-0.448	-0.123	-0.114	 Te-m     
	8.35	3.2832	3.278	2.613	4.182	4.01	-0.450	-0.550	-0.152	-0.144	 Te-M     
	8.35	3.2883	3.283	2.664	4.031	3.36	-1.422	-0.232	-0.078	-0.044	 L-M      
	8.35	3.2931	3.288	2.502	3.733	2.33	-1.312	0.057	0.661	0.817	 RGBb     
	8.35	3.2967	3.291	2.841	3.703	1.87	-2.078	0.233	0.814	0.936	 RGBt     
	8.35	3.3649	3.351	2.741	3.718	2.04	-1.875	0.136	0.738	0.877	 BHeb     
	8.35	3.4652	3.439	2.966	3.891	2.52	-2.684	0.127	0.076	0.166	 Te-M     
	8.35	3.4988	3.468	2.940	3.709	1.82	-2.341	0.210	0.789	0.916	 EHeb     
	8.35	3.5056	3.448	4.218	3.612	0.15	-4.860	1.504	1.466	1.500	 1TP      
	8.35	3.5139	1.307	4.559	3.580	-0.74	-5.413	1.712	1.534	1.756	 AGBt
#	Isochrone	Z = 0.00100		Age = 	2.512e+08 yr
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
	8.40	2.7054	2.703	2.129	4.142	4.26	0.527	-0.456	-0.123	-0.123	 TO       
	8.40	3.0834	3.079	2.443	4.117	3.90	-0.410	-0.413	-0.114	-0.109	 Te-m     
	8.40	3.1108	3.106	2.533	4.169	4.02	-0.325	-0.525	-0.145	-0.135	 Te-M     
	8.40	3.1156	3.111	2.579	4.024	3.39	-1.251	-0.207	-0.074	-0.040	 L-M      
	8.40	3.1205	3.115	2.414	3.735	2.40	-1.093	0.046	0.654	0.811	 RGBb     
	8.40	3.1244	3.119	2.771	3.704	1.92	-1.905	0.220	0.806	0.930	 RGBt     
	8.40	3.1929	3.179	2.650	3.721	2.12	-1.654	0.117	0.723	0.867	 BHeb     
	8.40	3.2920	3.268	2.890	3.897	2.60	-2.485	0.117	0.062	0.149	 Te-M     
	8.40	3.3253	3.297	2.845	3.714	1.91	-2.122	0.172	0.761	0.894	 EHeb     
	8.40	3.3318	3.277	4.172	3.613	0.18	-4.754	1.490	1.460	1.492	 1TP      
	8.40	3.3387	1.230	4.528	3.579	-0.74	-5.330	1.714	1.535	1.761	 AGBt
#	Isochrone	Z = 0.00100		Age = 	2.818e+08 yr
